customer_id,billing_month,plan,mrr
1,2024-02-01,Plus,19.99
1,2024-03-01,Plus,19.99
1,2024-04-01,Plus,19.99
1,2024-05-01,Plus,19.99
1,2024-06-01,Plus,19.99
1,2024-07-01,Plus,19.99
1,2024-08-01,Plus,19.99
1,2024-09-01,Plus,19.99
1,2024-10-01,Plus,19.99
1,2024-11-01,Plus,19.99
1,2024-12-01,Plus,19.99
1,2025-01-01,Plus,19.99
1,2025-02-01,Plus,19.99
1,2025-03-01,Plus,19.99
1,2025-04-01,Plus,19.99
1,2025-05-01,Plus,19.99
1,2025-06-01,Plus,19.99
1,2025-07-01,Plus,19.99
1,2025-08-01,Plus,19.99
1,2025-09-01,Plus,19.99
1,2025-10-01,Plus,19.99
1,2025-11-01,Plus,19.99
1,2025-12-01,Plus,19.99
1,2026-01-01,Plus,19.99
1,2026-02-01,Plus,19.99
1,2026-03-01,Plus,19.99
1,2026-04-01,Plus,19.99
1,2026-05-01,Plus,19.99
1,2026-06-01,Plus,19.99
2,2024-09-01,Basic,9.99
2,2024-10-01,Basic,9.99
2,2024-11-01,Basic,9.99
2,2024-12-01,Basic,9.99
2,2025-01-01,Basic,9.99
2,2025-02-01,Basic,9.99
2,2025-03-01,Basic,9.99
2,2025-04-01,Basic,9.99
2,2025-05-01,Basic,9.99
2,2025-06-01,Basic,9.99
2,2025-07-01,Basic,9.99
2,2025-08-01,Basic,9.99
2,2025-09-01,Basic,9.99
2,2025-10-01,Basic,9.99
2,2025-11-01,Basic,9.99
2,2025-12-01,Basic,9.99
2,2026-01-01,Basic,9.99
2,2026-02-01,Basic,9.99
2,2026-03-01,Basic,9.99
2,2026-04-01,Basic,9.99
2,2026-05-01,Basic,9.99
2,2026-06-01,Basic,9.99
3,2024-02-01,Basic,9.99
3,2024-03-01,Basic,9.99
3,2024-04-01,Basic,9.99
3,2024-05-01,Basic,9.99
3,2024-06-01,Basic,9.99
3,2024-07-01,Basic,9.99
3,2024-08-01,Basic,9.99
3,2024-09-01,Basic,9.99
3,2024-10-01,Basic,9.99
3,2024-11-01,Basic,9.99
3,2024-12-01,Basic,9.99
3,2025-01-01,Basic,9.99
3,2025-02-01,Basic,9.99
3,2025-03-01,Basic,9.99
3,2025-04-01,Basic,9.99
3,2025-05-01,Basic,9.99
3,2025-06-01,Basic,9.99
3,2025-07-01,Basic,9.99
3,2025-08-01,Basic,9.99
3,2025-09-01,Basic,9.99
3,2025-10-01,Basic,9.99
3,2025-11-01,Basic,9.99
3,2025-12-01,Basic,9.99
3,2026-01-01,Basic,9.99
3,2026-02-01,Basic,9.99
